note_id,seller_id,seller_name,goods_id,bridge_type,total_imp,total_clk,total_gv,total_buy,total_dgmv,gpm,ctr1_pct,good_click_quality_score,low_bad_market_score,model_sincerity_score,model_sincerity_level,creation_level,aigc_score,first_img_aesthetic_level,first_img_beauty_level,first_img_quality_level,first_img_definition_level,note_unfriendly_score,neg_emotion_score,spam_level,audit_level,ces_score_td,fans_num,publish_days,tob_b_level_30d,tob_seller_period_level,cover_url,note_quality_level,purchase_intent_score,rk_low_bad,rk_good_click,rk_sincerity,algo_quality_rank,tier,rn_in_tier
69d5153b0000000022000ccb,6176a13d2137d00001440b99,全食物日记旗舰店,69c9dd375681cd00012c5d67,goods_seller,2799,179,74,4,1173.0,419.0782422293676,6.39514112182922,0.746422,0.896046,14.82205581665039,中,B,0.297229,中,中,高,中,,,正常,2,43.0,6408,68,B4,稳定期,http://sns-img-qn.xhscdn.com/1040g2sg31ukhhc8siieg5pnjnfdne4stho54340?imageView2/2/w/540/format/jpg/q/75,2,0.9482421875,0.542937702588695,0.16110889096102896,0.5453576661782337,0.41646808657598583,黑马,903
66bf0975000000001e01dc7b,62cd4db84d694d000169c095,了不起的匠人的店,65e046a1b3f28d000103f268,goods_seller,1547,125,43,3,646.0,417.5824175824176,8.08015513897867,0.678571,0.883551,47.26428985595703,中,B,0.887996,中,中,中,中,,,正常,2,7016.0,1045317,666,B5,稳定期,http://sns-img-qn.xhscdn.com/110/0/01e6bf08cd4086a0001000000001915a3a6d25_0.jpg?imageView2/2/w/540/format/jpg/q/75,1,0.9482421875,0.40339386942557315,0.5031526131166467,0.14754377395911963,0.3513634188337798,黑马,904
69c23615000000001a02714a,654a0c1998ed2d000179d7ad,野春食记·马卡龙的店,6890a4d6e019f2000196350b,goods_seller,1718,89,51,4,715.52,416.48428405122235,5.18044237485448,0.658455,0.910765,66.54578399658203,高,B,0.045343,中,中,高,中,,,正常,2,65.0,11104,82,B3,稳定期,http://sns-img-qn.xhscdn.com/notes_pre_post/1040g3k031u24fvuone505ogjnqc8cqorp4sa5s8?imageView2/2/w/540/format/jpg/q/75,1,0.7294921875,0.7445717330491541,0.6425632372748398,0.03873421843316608,0.47528972958571997,黑马,905
69799eaa000000001a01e019,6503ca6100efc800012aed9e,茶理十八的店,69402ca55e8e270015b5b752,goods_seller,1082,79,61,1,450.0,415.89648798521256,7.30129390018484,0.795072,0.848164,37.594783782958984,中,B,0.371909,中,低,中,中,,,正常,2,209.0,38623,137,B4,稳定期,http://sns-img-qn.xhscdn.com/1040g2sg31rrgobvjiaeg5oru2q67rkntt4m43i8?imageView2/2/w/540/format/jpg/q/75,2,0.921875,0.16657046016310703,0.039607477465476666,0.2563163269837041,0.15416475487076262,黑马,906
6a1976fe0000000008030c5a,636e1050f197bd00017a5bbc,制茶人高良公的店,6a046991a7aa180001e654ca,goods_seller,1383,59,42,1,575.0,415.762834417932,4.26608821402748,0.807568,0.902414,42.81592559814453,中,B,0.115147,中,低,中,中,,,正常,4,26.0,7703,16,B3,稳定期,http://sns-img-qn.xhscdn.com/1040g2sg320ohvr7h62004bjreohqab28999rh3o?imageView2/2/w/540/format/jpg/q/75,2,0.038330078125,0.623062919053328,0.02489528292112547,0.18595977088051152,0.27797265761832163,黑马,907
69cfb50a000000001b0211fc,637f253e12def30001a8fffb,颐之宜养生的店,64c8b8cdc9f72f000119e59e,goods_seller,883,57,16,3,367.1,415.7417893544734,6.45526613816535,0.7326,0.85747,1.2463767528533936,中,B,0.069152,中,低,中,低,,,正常,2,128.0,10076,72,B6,稳定期,http://sns-img-qn.xhscdn.com/1040g2sg31uggtih32q1g5okgoas5aq8rp4nsusg?imageView2/2/w/540/format/jpg/q/75,1,0.04168701171875,0.20947116025043294,0.21454050293799862,0.7236801207761645,0.38256392798819866,黑马,908
69284e19000000001b024a20,620e11934a9f4d000123b28f,HolidayWine假日酒馆的店,686a387cc27dbc0001aea5f2,goods_seller,4627,514,225,8,1922.7199999999998,415.54354873568184,11.10870974713637,0.721056,0.84359,18.6536922454834,中,B,0.048508,中,低,中,中,,,正常,4,188.0,20400,199,B6,稳定期,http://sns-img-qn.xhscdn.com/1040g2sg31pd1lq61ise040l3lhehtd14ilurqh8?imageView2/2/w/540/format/jpg/q/75,2,0.89892578125,0.14930509302428843,0.26680283587170495,0.49135621568017995,0.30248804819205777,黑马,909
69e1b0c0000000002202703a,6503ca6100efc800012aed9e,茶理十八的店,6628beb7dc628200015ee517,goods_seller,738,32,59,2,306.24,414.9593495934959,4.33604336043360,0.781883,0.857425,37.594783782958984,中,B,0.148545,中,低,中,中,,,正常,4,9.0,38623,58,B4,稳定期,http://sns-img-qn.xhscdn.com/1040g00831v16lbjh2i105oru2q67rkntkuljl48?imageView2/2/w/540/format/jpg/q/75,2,0.9091796875,0.20924914524221838,0.061808978286932194,0.2563163269837041,0.1757914835042849,黑马,910
69d4c140000000001a0204b8,63b5134c44351a000144834b,爱远闻的店,682728734ba3f000014591e3,goods_seller,1117,90,15,3,462.83,414.3509400179051,8.05729632945389,0.704427,0.786386,-8.432848930358887,中,B,0.093708,中,低,中,中,,,正常,2,49.0,11472,68,B4,稳定期,http://sns-img-qn.xhscdn.com/notes_pre_post/1040g3k031ulahfmjia0g4a5f5614r3odinfc2f0?imageView2/2/w/540/format/jpg/q/75,1,0.958984375,0.03936326095644065,0.35097612598611666,0.8153575181682282,0.40189896837026184,黑马,911
69dc949c000000001b022e46,67d38eb29f157e00150e8a3c,Cheese More的店,69b3fce232508300011bf96e,goods_seller,1161,46,45,5,480.64,413.9879414298019,3.96210163652024,0.580091,0.886489,68.11554718017578,高,B,0.11024,中,低,中,中,,,正常,4,48.0,7626,62,B4,稳定期,http://sns-img-qn.xhscdn.com/1040g2sg31ut8sg6s3q7g4btk3raq6jpjaemm060?imageView2/2/w/540/format/jpg/q/75,1,0.95361328125,0.433084676524133,0.9648328226988144,0.03469354528366118,0.47753701483553623,黑马,912
